
==> Starting time is t1: 1515285788, Sat Jan  6 16:43:08 PST 2018 

2018-01-06T16:43:08.046-0800	connected to: localhost
2018-01-06T17:58:02.044-0800	[####....................] jagdb.xaa700m_row	8.92GB/44.3GB (20.1%)
2018-01-06T17:58:05.044-0800	[####....................] jagdb.xaa700m_row	8.92GB/44.3GB (20.1%)
2018-01-06T17:58:08.044-0800	[####....................] jagdb.xaa700m_row	8.93GB/44.3GB (20.1%)
2018-01-06T17:58:11.044-0800	[####....................] jagdb.xaa700m_row	8.94GB/44.3GB (20.2%)
2018-01-06T17:58:14.044-0800	[####....................] jagdb.xaa700m_row	8.94GB/44.3GB (20.2%)
2018-01-06T17:58:17.044-0800	[####....................] jagdb.xaa700m_row	8.95GB/44.3GB (20.2%)
2018-01-06T17:58:20.044-0800	[####....................] jagdb.xaa700m_row	8.96GB/44.3GB (20.2%)
2018-01-06T17:58:23.044-0800	[####....................] jagdb.xaa700m_row	8.96GB/44.3GB (20.2%)
2018-01-06T17:58:26.044-0800	[####....................] jagdb.xaa700m_row	8.97GB/44.3GB (20.2%)
2018-01-06T17:58:29.044-0800	[####....................] jagdb.xaa700m_row	8.97GB/44.3GB (20.2%)
2018-01-06T17:58:32.044-0800	[####....................] jagdb.xaa700m_row	8.98GB/44.3GB (20.3%)
2018-01-06T17:58:35.044-0800	[####....................] jagdb.xaa700m_row	8.99GB/44.3GB (20.3%)
2018-01-06T17:58:38.044-0800	[####....................] jagdb.xaa700m_row	8.99GB/44.3GB (20.3%)
2018-01-06T17:58:41.044-0800	[####....................] jagdb.xaa700m_row	9.00GB/44.3GB (20.3%)
2018-01-06T17:58:44.044-0800	[####....................] jagdb.xaa700m_row	9.01GB/44.3GB (20.3%)
2018-01-06T17:58:47.044-0800	[####....................] jagdb.xaa700m_row	9.01GB/44.3GB (20.3%)
2018-01-06T17:58:50.044-0800	[####....................] jagdb.xaa700m_row	9.02GB/44.3GB (20.3%)
2018-01-06T17:58:53.045-0800	[####....................] jagdb.xaa700m_row	9.02GB/44.3GB (20.4%)
2018-01-06T17:58:56.044-0800	[####....................] jagdb.xaa700m_row	9.03GB/44.3GB (20.4%)
2018-01-06T17:58:59.044-0800	[####....................] jagdb.xaa700m_row	9.04GB/44.3GB (20.4%)
2018-01-06T17:59:02.044-0800	[####....................] jagdb.xaa700m_row	9.04GB/44.3GB (20.4%)
2018-01-06T17:59:05.044-0800	[####....................] jagdb.xaa700m_row	9.05GB/44.3GB (20.4%)
2018-01-06T17:59:08.044-0800	[####....................] jagdb.xaa700m_row	9.05GB/44.3GB (20.4%)
2018-01-06T17:59:11.044-0800	[####....................] jagdb.xaa700m_row	9.06GB/44.3GB (20.4%)
2018-01-06T17:59:14.044-0800	[####....................] jagdb.xaa700m_row	9.06GB/44.3GB (20.4%)
2018-01-06T17:59:17.044-0800	[####....................] jagdb.xaa700m_row	9.07GB/44.3GB (20.5%)
2018-01-06T17:59:20.044-0800	[####....................] jagdb.xaa700m_row	9.08GB/44.3GB (20.5%)
2018-01-06T17:59:23.044-0800	[####....................] jagdb.xaa700m_row	9.08GB/44.3GB (20.5%)
2018-01-06T17:59:26.044-0800	[####....................] jagdb.xaa700m_row	9.09GB/44.3GB (20.5%)
2018-01-06T17:59:29.044-0800	[####....................] jagdb.xaa700m_row	9.09GB/44.3GB (20.5%)
2018-01-06T17:59:32.044-0800	[####....................] jagdb.xaa700m_row	9.10GB/44.3GB (20.5%)
2018-01-06T17:59:35.044-0800	[####....................] jagdb.xaa700m_row	9.11GB/44.3GB (20.5%)
2018-01-06T17:59:38.044-0800	[####....................] jagdb.xaa700m_row	9.11GB/44.3GB (20.6%)
2018-01-06T17:59:41.044-0800	[####....................] jagdb.xaa700m_row	9.12GB/44.3GB (20.6%)
2018-01-06T17:59:44.044-0800	[####....................] jagdb.xaa700m_row	9.12GB/44.3GB (20.6%)
2018-01-06T17:59:47.044-0800	[####....................] jagdb.xaa700m_row	9.13GB/44.3GB (20.6%)
2018-01-06T17:59:50.044-0800	[####....................] jagdb.xaa700m_row	9.14GB/44.3GB (20.6%)
2018-01-06T17:59:53.044-0800	[####....................] jagdb.xaa700m_row	9.14GB/44.3GB (20.6%)
2018-01-06T17:59:56.044-0800	[####....................] jagdb.xaa700m_row	9.15GB/44.3GB (20.6%)
2018-01-06T17:59:59.044-0800	[####....................] jagdb.xaa700m_row	9.15GB/44.3GB (20.6%)
2018-01-06T18:00:02.044-0800	[####....................] jagdb.xaa700m_row	9.16GB/44.3GB (20.7%)
2018-01-06T18:00:05.044-0800	[####....................] jagdb.xaa700m_row	9.17GB/44.3GB (20.7%)
2018-01-06T18:00:08.044-0800	[####....................] jagdb.xaa700m_row	9.17GB/44.3GB (20.7%)
2018-01-06T18:00:11.044-0800	[####....................] jagdb.xaa700m_row	9.18GB/44.3GB (20.7%)
2018-01-06T18:00:14.044-0800	[####....................] jagdb.xaa700m_row	9.18GB/44.3GB (20.7%)
2018-01-06T18:00:17.044-0800	[####....................] jagdb.xaa700m_row	9.19GB/44.3GB (20.7%)
2018-01-06T18:00:20.044-0800	[####....................] jagdb.xaa700m_row	9.19GB/44.3GB (20.7%)
2018-01-06T18:00:23.044-0800	[####....................] jagdb.xaa700m_row	9.20GB/44.3GB (20.8%)
2018-01-06T18:00:26.044-0800	[####....................] jagdb.xaa700m_row	9.21GB/44.3GB (20.8%)
2018-01-06T18:00:29.044-0800	[####....................] jagdb.xaa700m_row	9.21GB/44.3GB (20.8%)
2018-01-06T18:00:32.044-0800	[####....................] jagdb.xaa700m_row	9.22GB/44.3GB (20.8%)
2018-01-06T18:00:35.044-0800	[####....................] jagdb.xaa700m_row	9.22GB/44.3GB (20.8%)
2018-01-06T18:00:38.044-0800	[####....................] jagdb.xaa700m_row	9.23GB/44.3GB (20.8%)
2018-01-06T18:00:41.044-0800	[#####...................] jagdb.xaa700m_row	9.24GB/44.3GB (20.8%)
2018-01-06T18:00:44.044-0800	[#####...................] jagdb.xaa700m_row	9.24GB/44.3GB (20.9%)
2018-01-06T18:00:47.044-0800	[#####...................] jagdb.xaa700m_row	9.25GB/44.3GB (20.9%)
2018-01-06T18:00:50.044-0800	[#####...................] jagdb.xaa700m_row	9.25GB/44.3GB (20.9%)
2018-01-06T18:00:53.044-0800	[#####...................] jagdb.xaa700m_row	9.26GB/44.3GB (20.9%)
2018-01-06T18:00:56.044-0800	[#####...................] jagdb.xaa700m_row	9.27GB/44.3GB (20.9%)
2018-01-06T18:00:59.044-0800	[#####...................] jagdb.xaa700m_row	9.27GB/44.3GB (20.9%)
2018-01-06T18:01:02.044-0800	[#####...................] jagdb.xaa700m_row	9.28GB/44.3GB (20.9%)
2018-01-06T18:01:05.044-0800	[#####...................] jagdb.xaa700m_row	9.28GB/44.3GB (20.9%)
2018-01-06T18:01:08.044-0800	[#####...................] jagdb.xaa700m_row	9.29GB/44.3GB (21.0%)
2018-01-06T18:01:11.044-0800	[#####...................] jagdb.xaa700m_row	9.30GB/44.3GB (21.0%)
2018-01-06T18:01:14.044-0800	[#####...................] jagdb.xaa700m_row	9.30GB/44.3GB (21.0%)
2018-01-06T18:01:17.044-0800	[#####...................] jagdb.xaa700m_row	9.31GB/44.3GB (21.0%)
2018-01-06T18:01:20.044-0800	[#####...................] jagdb.xaa700m_row	9.31GB/44.3GB (21.0%)
2018-01-06T18:01:23.044-0800	[#####...................] jagdb.xaa700m_row	9.32GB/44.3GB (21.0%)
2018-01-06T18:01:26.044-0800	[#####...................] jagdb.xaa700m_row	9.32GB/44.3GB (21.0%)
2018-01-06T18:01:29.044-0800	[#####...................] jagdb.xaa700m_row	9.33GB/44.3GB (21.0%)
2018-01-06T18:01:32.044-0800	[#####...................] jagdb.xaa700m_row	9.34GB/44.3GB (21.1%)
2018-01-06T18:01:35.044-0800	[#####...................] jagdb.xaa700m_row	9.34GB/44.3GB (21.1%)
2018-01-06T18:01:38.044-0800	[#####...................] jagdb.xaa700m_row	9.35GB/44.3GB (21.1%)
2018-01-06T18:01:41.044-0800	[#####...................] jagdb.xaa700m_row	9.36GB/44.3GB (21.1%)
2018-01-06T18:01:44.044-0800	[#####...................] jagdb.xaa700m_row	9.36GB/44.3GB (21.1%)
2018-01-06T18:01:47.044-0800	[#####...................] jagdb.xaa700m_row	9.37GB/44.3GB (21.1%)
2018-01-06T18:01:50.044-0800	[#####...................] jagdb.xaa700m_row	9.37GB/44.3GB (21.1%)
2018-01-06T18:01:53.044-0800	[#####...................] jagdb.xaa700m_row	9.38GB/44.3GB (21.2%)
2018-01-06T18:01:56.044-0800	[#####...................] jagdb.xaa700m_row	9.39GB/44.3GB (21.2%)
2018-01-06T18:01:59.044-0800	[#####...................] jagdb.xaa700m_row	9.39GB/44.3GB (21.2%)
2018-01-06T18:02:02.045-0800	[#####...................] jagdb.xaa700m_row	9.40GB/44.3GB (21.2%)
2018-01-06T18:02:05.044-0800	[#####...................] jagdb.xaa700m_row	9.40GB/44.3GB (21.2%)
2018-01-06T18:02:08.044-0800	[#####...................] jagdb.xaa700m_row	9.41GB/44.3GB (21.2%)
2018-01-06T18:02:11.044-0800	[#####...................] jagdb.xaa700m_row	9.42GB/44.3GB (21.2%)
2018-01-06T18:02:14.044-0800	[#####...................] jagdb.xaa700m_row	9.42GB/44.3GB (21.3%)
2018-01-06T18:02:17.045-0800	[#####...................] jagdb.xaa700m_row	9.43GB/44.3GB (21.3%)
2018-01-06T18:02:20.044-0800	[#####...................] jagdb.xaa700m_row	9.43GB/44.3GB (21.3%)
2018-01-06T18:02:23.044-0800	[#####...................] jagdb.xaa700m_row	9.44GB/44.3GB (21.3%)
2018-01-06T18:02:26.044-0800	[#####...................] jagdb.xaa700m_row	9.44GB/44.3GB (21.3%)
2018-01-06T18:02:29.044-0800	[#####...................] jagdb.xaa700m_row	9.45GB/44.3GB (21.3%)
2018-01-06T18:02:32.044-0800	[#####...................] jagdb.xaa700m_row	9.45GB/44.3GB (21.3%)
2018-01-06T18:02:35.044-0800	[#####...................] jagdb.xaa700m_row	9.46GB/44.3GB (21.3%)
2018-01-06T18:02:38.044-0800	[#####...................] jagdb.xaa700m_row	9.47GB/44.3GB (21.4%)
2018-01-06T18:02:41.044-0800	[#####...................] jagdb.xaa700m_row	9.47GB/44.3GB (21.4%)
2018-01-06T18:02:44.044-0800	[#####...................] jagdb.xaa700m_row	9.48GB/44.3GB (21.4%)
2018-01-06T18:02:47.044-0800	[#####...................] jagdb.xaa700m_row	9.48GB/44.3GB (21.4%)
2018-01-06T18:02:50.044-0800	[#####...................] jagdb.xaa700m_row	9.49GB/44.3GB (21.4%)
2018-01-06T18:02:53.044-0800	[#####...................] jagdb.xaa700m_row	9.50GB/44.3GB (21.4%)
2018-01-06T18:02:56.044-0800	[#####...................] jagdb.xaa700m_row	9.50GB/44.3GB (21.4%)
2018-01-06T18:02:59.044-0800	[#####...................] jagdb.xaa700m_row	9.51GB/44.3GB (21.5%)
2018-01-06T18:03:02.044-0800	[#####...................] jagdb.xaa700m_row	9.52GB/44.3GB (21.5%)
2018-01-06T18:03:05.044-0800	[#####...................] jagdb.xaa700m_row	9.52GB/44.3GB (21.5%)
2018-01-06T18:03:08.044-0800	[#####...................] jagdb.xaa700m_row	9.53GB/44.3GB (21.5%)
2018-01-06T18:03:11.044-0800	[#####...................] jagdb.xaa700m_row	9.53GB/44.3GB (21.5%)
2018-01-06T18:03:14.044-0800	[#####...................] jagdb.xaa700m_row	9.54GB/44.3GB (21.5%)
2018-01-06T18:03:17.044-0800	[#####...................] jagdb.xaa700m_row	9.55GB/44.3GB (21.5%)
2018-01-06T18:03:20.044-0800	[#####...................] jagdb.xaa700m_row	9.55GB/44.3GB (21.5%)
2018-01-06T18:03:23.044-0800	[#####...................] jagdb.xaa700m_row	9.56GB/44.3GB (21.6%)
2018-01-06T18:03:26.044-0800	[#####...................] jagdb.xaa700m_row	9.56GB/44.3GB (21.6%)
2018-01-06T18:03:29.044-0800	[#####...................] jagdb.xaa700m_row	9.57GB/44.3GB (21.6%)
2018-01-06T18:03:32.044-0800	[#####...................] jagdb.xaa700m_row	9.57GB/44.3GB (21.6%)
2018-01-06T18:03:35.044-0800	[#####...................] jagdb.xaa700m_row	9.58GB/44.3GB (21.6%)
2018-01-06T18:03:38.044-0800	[#####...................] jagdb.xaa700m_row	9.58GB/44.3GB (21.6%)
2018-01-06T18:03:41.044-0800	[#####...................] jagdb.xaa700m_row	9.59GB/44.3GB (21.6%)
2018-01-06T18:03:44.044-0800	[#####...................] jagdb.xaa700m_row	9.60GB/44.3GB (21.6%)
2018-01-06T18:03:47.044-0800	[#####...................] jagdb.xaa700m_row	9.60GB/44.3GB (21.7%)
2018-01-06T18:03:50.044-0800	[#####...................] jagdb.xaa700m_row	9.61GB/44.3GB (21.7%)
2018-01-06T18:03:53.044-0800	[#####...................] jagdb.xaa700m_row	9.62GB/44.3GB (21.7%)
2018-01-06T18:03:56.044-0800	[#####...................] jagdb.xaa700m_row	9.62GB/44.3GB (21.7%)
2018-01-06T18:03:59.044-0800	[#####...................] jagdb.xaa700m_row	9.63GB/44.3GB (21.7%)
2018-01-06T18:04:02.044-0800	[#####...................] jagdb.xaa700m_row	9.63GB/44.3GB (21.7%)
2018-01-06T18:04:05.044-0800	[#####...................] jagdb.xaa700m_row	9.64GB/44.3GB (21.7%)
2018-01-06T18:04:08.044-0800	[#####...................] jagdb.xaa700m_row	9.64GB/44.3GB (21.8%)
2018-01-06T18:04:11.044-0800	[#####...................] jagdb.xaa700m_row	9.65GB/44.3GB (21.8%)
2018-01-06T18:04:14.044-0800	[#####...................] jagdb.xaa700m_row	9.66GB/44.3GB (21.8%)
2018-01-06T18:04:17.044-0800	[#####...................] jagdb.xaa700m_row	9.66GB/44.3GB (21.8%)
2018-01-06T18:04:20.044-0800	[#####...................] jagdb.xaa700m_row	9.67GB/44.3GB (21.8%)
2018-01-06T18:04:23.044-0800	[#####...................] jagdb.xaa700m_row	9.68GB/44.3GB (21.8%)
2018-01-06T18:04:26.044-0800	[#####...................] jagdb.xaa700m_row	9.68GB/44.3GB (21.8%)
2018-01-06T18:04:29.044-0800	[#####...................] jagdb.xaa700m_row	9.69GB/44.3GB (21.9%)
2018-01-06T18:04:32.044-0800	[#####...................] jagdb.xaa700m_row	9.69GB/44.3GB (21.9%)
2018-01-06T18:04:35.045-0800	[#####...................] jagdb.xaa700m_row	9.70GB/44.3GB (21.9%)
2018-01-06T18:04:38.044-0800	[#####...................] jagdb.xaa700m_row	9.70GB/44.3GB (21.9%)
2018-01-06T18:04:41.044-0800	[#####...................] jagdb.xaa700m_row	9.71GB/44.3GB (21.9%)
2018-01-06T18:04:44.044-0800	[#####...................] jagdb.xaa700m_row	9.72GB/44.3GB (21.9%)
2018-01-06T18:04:47.044-0800	[#####...................] jagdb.xaa700m_row	9.72GB/44.3GB (21.9%)
2018-01-06T18:04:50.044-0800	[#####...................] jagdb.xaa700m_row	9.73GB/44.3GB (21.9%)
2018-01-06T18:04:53.044-0800	[#####...................] jagdb.xaa700m_row	9.73GB/44.3GB (22.0%)
2018-01-06T18:04:56.044-0800	[#####...................] jagdb.xaa700m_row	9.74GB/44.3GB (22.0%)
2018-01-06T18:04:59.044-0800	[#####...................] jagdb.xaa700m_row	9.75GB/44.3GB (22.0%)
2018-01-06T18:05:02.044-0800	[#####...................] jagdb.xaa700m_row	9.75GB/44.3GB (22.0%)
2018-01-06T18:05:05.044-0800	[#####...................] jagdb.xaa700m_row	9.76GB/44.3GB (22.0%)
2018-01-06T18:05:08.044-0800	[#####...................] jagdb.xaa700m_row	9.77GB/44.3GB (22.0%)
2018-01-06T18:05:11.044-0800	[#####...................] jagdb.xaa700m_row	9.77GB/44.3GB (22.0%)
2018-01-06T18:05:14.044-0800	[#####...................] jagdb.xaa700m_row	9.78GB/44.3GB (22.1%)
2018-01-06T18:05:17.044-0800	[#####...................] jagdb.xaa700m_row	9.78GB/44.3GB (22.1%)
2018-01-06T18:05:20.044-0800	[#####...................] jagdb.xaa700m_row	9.79GB/44.3GB (22.1%)
2018-01-06T18:05:23.044-0800	[#####...................] jagdb.xaa700m_row	9.79GB/44.3GB (22.1%)
2018-01-06T18:05:26.044-0800	[#####...................] jagdb.xaa700m_row	9.80GB/44.3GB (22.1%)
2018-01-06T18:05:29.044-0800	[#####...................] jagdb.xaa700m_row	9.81GB/44.3GB (22.1%)
2018-01-06T18:05:32.044-0800	[#####...................] jagdb.xaa700m_row	9.81GB/44.3GB (22.1%)
2018-01-06T18:05:35.044-0800	[#####...................] jagdb.xaa700m_row	9.82GB/44.3GB (22.2%)
2018-01-06T18:05:38.044-0800	[#####...................] jagdb.xaa700m_row	9.83GB/44.3GB (22.2%)
2018-01-06T18:05:41.044-0800	[#####...................] jagdb.xaa700m_row	9.83GB/44.3GB (22.2%)
2018-01-06T18:05:44.044-0800	[#####...................] jagdb.xaa700m_row	9.83GB/44.3GB (22.2%)
2018-01-06T18:05:47.044-0800	[#####...................] jagdb.xaa700m_row	9.84GB/44.3GB (22.2%)
2018-01-06T18:05:50.044-0800	[#####...................] jagdb.xaa700m_row	9.85GB/44.3GB (22.2%)
2018-01-06T18:05:53.044-0800	[#####...................] jagdb.xaa700m_row	9.85GB/44.3GB (22.2%)
2018-01-06T18:05:56.044-0800	[#####...................] jagdb.xaa700m_row	9.86GB/44.3GB (22.2%)
2018-01-06T18:05:59.044-0800	[#####...................] jagdb.xaa700m_row	9.86GB/44.3GB (22.3%)
2018-01-06T18:06:02.044-0800	[#####...................] jagdb.xaa700m_row	9.87GB/44.3GB (22.3%)
2018-01-06T18:06:05.044-0800	[#####...................] jagdb.xaa700m_row	9.88GB/44.3GB (22.3%)
2018-01-06T18:06:08.044-0800	[#####...................] jagdb.xaa700m_row	9.88GB/44.3GB (22.3%)
2018-01-06T18:06:11.044-0800	[#####...................] jagdb.xaa700m_row	9.89GB/44.3GB (22.3%)
2018-01-06T18:06:14.044-0800	[#####...................] jagdb.xaa700m_row	9.89GB/44.3GB (22.3%)
2018-01-06T18:06:17.044-0800	[#####...................] jagdb.xaa700m_row	9.90GB/44.3GB (22.3%)
2018-01-06T18:06:20.044-0800	[#####...................] jagdb.xaa700m_row	9.91GB/44.3GB (22.3%)
2018-01-06T18:06:23.044-0800	[#####...................] jagdb.xaa700m_row	9.91GB/44.3GB (22.4%)
2018-01-06T18:06:26.044-0800	[#####...................] jagdb.xaa700m_row	9.92GB/44.3GB (22.4%)
2018-01-06T18:06:29.044-0800	[#####...................] jagdb.xaa700m_row	9.93GB/44.3GB (22.4%)
2018-01-06T18:06:32.044-0800	[#####...................] jagdb.xaa700m_row	9.93GB/44.3GB (22.4%)
2018-01-06T18:06:35.044-0800	[#####...................] jagdb.xaa700m_row	9.94GB/44.3GB (22.4%)
2018-01-06T18:06:38.044-0800	[#####...................] jagdb.xaa700m_row	9.94GB/44.3GB (22.4%)
2018-01-06T18:06:41.044-0800	[#####...................] jagdb.xaa700m_row	9.95GB/44.3GB (22.4%)
2018-01-06T18:06:44.044-0800	[#####...................] jagdb.xaa700m_row	9.96GB/44.3GB (22.5%)
2018-01-06T18:06:47.044-0800	[#####...................] jagdb.xaa700m_row	9.96GB/44.3GB (22.5%)
2018-01-06T18:06:50.044-0800	[#####...................] jagdb.xaa700m_row	9.96GB/44.3GB (22.5%)
2018-01-06T18:06:53.044-0800	[#####...................] jagdb.xaa700m_row	9.97GB/44.3GB (22.5%)
2018-01-06T18:06:56.044-0800	[#####...................] jagdb.xaa700m_row	9.98GB/44.3GB (22.5%)
2018-01-06T18:06:59.044-0800	[#####...................] jagdb.xaa700m_row	9.98GB/44.3GB (22.5%)
2018-01-06T18:07:02.044-0800	[#####...................] jagdb.xaa700m_row	9.99GB/44.3GB (22.5%)
2018-01-06T18:07:05.044-0800	[#####...................] jagdb.xaa700m_row	9.99GB/44.3GB (22.5%)
2018-01-06T18:07:08.044-0800	[#####...................] jagdb.xaa700m_row	10.0GB/44.3GB (22.6%)
2018-01-06T18:07:11.044-0800	[#####...................] jagdb.xaa700m_row	10.0GB/44.3GB (22.6%)
2018-01-06T18:07:14.044-0800	[#####...................] jagdb.xaa700m_row	10.0GB/44.3GB (22.6%)
2018-01-06T18:07:17.044-0800	[#####...................] jagdb.xaa700m_row	10.0GB/44.3GB (22.6%)
2018-01-06T18:07:20.044-0800	[#####...................] jagdb.xaa700m_row	10.0GB/44.3GB (22.6%)
2018-01-06T18:07:23.044-0800	[#####...................] jagdb.xaa700m_row	10.0GB/44.3GB (22.6%)
2018-01-06T18:07:26.044-0800	[#####...................] jagdb.xaa700m_row	10.0GB/44.3GB (22.6%)
2018-01-06T18:07:29.044-0800	[#####...................] jagdb.xaa700m_row	10.0GB/44.3GB (22.7%)
2018-01-06T18:07:32.044-0800	[#####...................] jagdb.xaa700m_row	10.1GB/44.3GB (22.7%)
2018-01-06T18:07:35.044-0800	[#####...................] jagdb.xaa700m_row	10.1GB/44.3GB (22.7%)
2018-01-06T18:07:38.044-0800	[#####...................] jagdb.xaa700m_row	10.1GB/44.3GB (22.7%)
2018-01-06T18:07:41.044-0800	[#####...................] jagdb.xaa700m_row	10.1GB/44.3GB (22.7%)
2018-01-06T18:07:44.044-0800	[#####...................] jagdb.xaa700m_row	10.1GB/44.3GB (22.7%)
2018-01-06T18:07:47.044-0800	[#####...................] jagdb.xaa700m_row	10.1GB/44.3GB (22.7%)
2018-01-06T18:07:50.044-0800	[#####...................] jagdb.xaa700m_row	10.1GB/44.3GB (22.8%)
2018-01-06T18:07:53.044-0800	[#####...................] jagdb.xaa700m_row	10.1GB/44.3GB (22.8%)
2018-01-06T18:07:56.044-0800	[#####...................] jagdb.xaa700m_row	10.1GB/44.3GB (22.8%)
2018-01-06T18:07:59.045-0800	[#####...................] jagdb.xaa700m_row	10.1GB/44.3GB (22.8%)
2018-01-06T18:08:02.044-0800	[#####...................] jagdb.xaa700m_row	10.1GB/44.3GB (22.8%)
2018-01-06T18:08:05.044-0800	[#####...................] jagdb.xaa700m_row	10.1GB/44.3GB (22.8%)
2018-01-06T18:08:08.044-0800	[#####...................] jagdb.xaa700m_row	10.1GB/44.3GB (22.8%)
2018-01-06T18:08:11.044-0800	[#####...................] jagdb.xaa700m_row	10.1GB/44.3GB (22.8%)
2018-01-06T18:08:14.044-0800	[#####...................] jagdb.xaa700m_row	10.1GB/44.3GB (22.9%)
2018-01-06T18:08:17.044-0800	[#####...................] jagdb.xaa700m_row	10.1GB/44.3GB (22.9%)
2018-01-06T18:08:20.044-0800	[#####...................] jagdb.xaa700m_row	10.1GB/44.3GB (22.9%)
2018-01-06T18:08:23.044-0800	[#####...................] jagdb.xaa700m_row	10.2GB/44.3GB (22.9%)
2018-01-06T18:08:26.044-0800	[#####...................] jagdb.xaa700m_row	10.2GB/44.3GB (22.9%)
2018-01-06T18:08:29.044-0800	[#####...................] jagdb.xaa700m_row	10.2GB/44.3GB (22.9%)
2018-01-06T18:08:32.044-0800	[#####...................] jagdb.xaa700m_row	10.2GB/44.3GB (22.9%)
2018-01-06T18:08:35.044-0800	[#####...................] jagdb.xaa700m_row	10.2GB/44.3GB (22.9%)
2018-01-06T18:08:38.044-0800	[#####...................] jagdb.xaa700m_row	10.2GB/44.3GB (23.0%)
2018-01-06T18:08:41.044-0800	[#####...................] jagdb.xaa700m_row	10.2GB/44.3GB (23.0%)
2018-01-06T18:08:44.044-0800	[#####...................] jagdb.xaa700m_row	10.2GB/44.3GB (23.0%)
2018-01-06T18:08:47.044-0800	[#####...................] jagdb.xaa700m_row	10.2GB/44.3GB (23.0%)
2018-01-06T18:08:50.044-0800	[#####...................] jagdb.xaa700m_row	10.2GB/44.3GB (23.0%)
2018-01-06T18:08:53.044-0800	[#####...................] jagdb.xaa700m_row	10.2GB/44.3GB (23.0%)
2018-01-06T18:08:56.044-0800	[#####...................] jagdb.xaa700m_row	10.2GB/44.3GB (23.0%)
2018-01-06T18:08:59.044-0800	[#####...................] jagdb.xaa700m_row	10.2GB/44.3GB (23.1%)
2018-01-06T18:09:02.044-0800	[#####...................] jagdb.xaa700m_row	10.2GB/44.3GB (23.1%)
2018-01-06T18:09:05.044-0800	[#####...................] jagdb.xaa700m_row	10.2GB/44.3GB (23.1%)
2018-01-06T18:09:08.044-0800	[#####...................] jagdb.xaa700m_row	10.2GB/44.3GB (23.1%)
2018-01-06T18:09:11.044-0800	[#####...................] jagdb.xaa700m_row	10.2GB/44.3GB (23.1%)
2018-01-06T18:09:14.044-0800	[#####...................] jagdb.xaa700m_row	10.2GB/44.3GB (23.1%)
2018-01-06T18:09:17.044-0800	[#####...................] jagdb.xaa700m_row	10.2GB/44.3GB (23.1%)
2018-01-06T18:09:20.044-0800	[#####...................] jagdb.xaa700m_row	10.3GB/44.3GB (23.1%)
2018-01-06T18:09:23.044-0800	[#####...................] jagdb.xaa700m_row	10.3GB/44.3GB (23.2%)
2018-01-06T18:09:26.044-0800	[#####...................] jagdb.xaa700m_row	10.3GB/44.3GB (23.2%)
2018-01-06T18:09:29.044-0800	[#####...................] jagdb.xaa700m_row	10.3GB/44.3GB (23.2%)
2018-01-06T18:09:32.044-0800	[#####...................] jagdb.xaa700m_row	10.3GB/44.3GB (23.2%)
2018-01-06T18:09:35.044-0800	[#####...................] jagdb.xaa700m_row	10.3GB/44.3GB (23.2%)
2018-01-06T18:09:38.044-0800	[#####...................] jagdb.xaa700m_row	10.3GB/44.3GB (23.2%)
2018-01-06T18:09:41.044-0800	[#####...................] jagdb.xaa700m_row	10.3GB/44.3GB (23.2%)
2018-01-06T18:09:44.044-0800	[#####...................] jagdb.xaa700m_row	10.3GB/44.3GB (23.3%)
2018-01-06T18:09:47.044-0800	[#####...................] jagdb.xaa700m_row	10.3GB/44.3GB (23.3%)
2018-01-06T18:09:50.044-0800	[#####...................] jagdb.xaa700m_row	10.3GB/44.3GB (23.3%)
2018-01-06T18:09:53.044-0800	[#####...................] jagdb.xaa700m_row	10.3GB/44.3GB (23.3%)
2018-01-06T18:09:56.044-0800	[#####...................] jagdb.xaa700m_row	10.3GB/44.3GB (23.3%)
2018-01-06T18:09:59.044-0800	[#####...................] jagdb.xaa700m_row	10.3GB/44.3GB (23.3%)
2018-01-06T18:10:02.044-0800	[#####...................] jagdb.xaa700m_row	10.3GB/44.3GB (23.3%)
2018-01-06T18:10:05.044-0800	[#####...................] jagdb.xaa700m_row	10.3GB/44.3GB (23.4%)
2018-01-06T18:10:08.044-0800	[#####...................] jagdb.xaa700m_row	10.4GB/44.3GB (23.4%)
2018-01-06T18:10:11.044-0800	[#####...................] jagdb.xaa700m_row	10.4GB/44.3GB (23.4%)
2018-01-06T18:10:14.044-0800	[#####...................] jagdb.xaa700m_row	10.4GB/44.3GB (23.4%)
2018-01-06T18:10:17.044-0800	[#####...................] jagdb.xaa700m_row	10.4GB/44.3GB (23.4%)
2018-01-06T18:10:20.044-0800	[#####...................] jagdb.xaa700m_row	10.4GB/44.3GB (23.4%)
2018-01-06T18:10:23.044-0800	[#####...................] jagdb.xaa700m_row	10.4GB/44.3GB (23.4%)
2018-01-06T18:10:26.044-0800	[#####...................] jagdb.xaa700m_row	10.4GB/44.3GB (23.4%)
2018-01-06T18:10:29.044-0800	[#####...................] jagdb.xaa700m_row	10.4GB/44.3GB (23.5%)
2018-01-06T18:10:32.044-0800	[#####...................] jagdb.xaa700m_row	10.4GB/44.3GB (23.5%)
2018-01-06T18:10:35.044-0800	[#####...................] jagdb.xaa700m_row	10.4GB/44.3GB (23.5%)
2018-01-06T18:10:38.044-0800	[#####...................] jagdb.xaa700m_row	10.4GB/44.3GB (23.5%)
2018-01-06T18:10:41.044-0800	[#####...................] jagdb.xaa700m_row	10.4GB/44.3GB (23.5%)
